"{'l': 0.2340466939999999, 'm': 0.7659533060000001, 'h': 0}","{'l': 0, 'm': 0, 'h': 1}","{'l': 0.25378403999999993, 'm': 0.74621596, 'h': 0}",0.0
"{'l': 0.24055568449999987, 'm': 0.7594443155000001, 'h': 0}","{'l': 0, 'm': 0, 'h': 1}","{'l': 0, 'm': 0, 'h': 1}",0.1
"{'l': 0.25517198399999996, 'm': 0.744828016, 'h': 0}","{'l': 0, 'm': 0, 'h': 1}","{'l': 0.22784071999999989, 'm': 0.77215928, 'h': 0}",0.0
"{'l': 0.2621248650000001, 'm': 0.7378751349999999, 'h': 0}","{'l': 0, 'm': 0, 'h': 1}","{'l': 0, 'm': 0, 'h': 1}",0.1
"{'l': 0.2735685339999998, 'm': 0.7264314660000002, 'h': 0}","{'l': 0, 'm': 0, 'h': 1}","{'l': 0.306009545, 'm': 0.6939904549999999, 'h': 0}",0.0
"{'l': 0.5113156834999999, 'm': 0.4886843165000001, 'h': 0}","{'l': 0, 'm': 0, 'h': 1}","{'l': 0, 'm': 0, 'h': 1}",0.0
"{'l': 0.5001406239999999, 'm': 0.4998593760000001, 'h': 0}","{'l': 0, 'm': 0, 'h': 1}","{'l': 0.25843222499999996, 'm': 0.7415677749999999, 'h': 0}",-0.1
"{'l': 0.32129259450000003, 'm': 0.6787074055, 'h': 0}","{'l': 0, 'm': 0, 'h': 1}","{'l': 0, 'm': 0, 'h': 1}",0.1
"{'l': 0.6340172005, 'm': 0.3659827995, 'h': 0}","{'l': 0, 'm': 0, 'h': 1}","{'l': 0, 'm': 0.2429173500000001, 'h': 0.75708265}",0.0
"{'l': 0.7692514189999999, 'm': 0.23074858100000006, 'h': 0}","{'l': 0, 'm': 0, 'h': 1}","{'l': 0.22784071999999989, 'm': 0.77215928, 'h': 0}",-0.1
"{'l': 0.914126717, 'm': 0.08587328299999997, 'h': 0}","{'l': 0, 'm': 0.5, 'h': 0.5}","{'l': 0, 'm': 0, 'h': 1}",0.0
"{'l': 0.9616172380000001, 'm': 0.038382761999999904, 'h': 0}","{'l': 0, 'm': 0, 'h': 1}","{'l': 0, 'm': 0.76115603, 'h': 0.23884397000000002}",-0.1
"{'l': 0.9859254904999999, 'm': 0.01407450950000011, 'h': 0}","{'l': 0, 'm': 0, 'h': 1}","{'l': 0.99176435, 'm': 0.008235649999999983, 'h': 0}",-0.1
"{'l': 0.1661799799999999, 'm': 0.8338200200000001, 'h': 0}","{'l': 0, 'm': 0, 'h': 1}","{'l': 0, 'm': 0.3136748149999999, 'h': 0.6863251850000002}",0.1
"{'l': 0.20696624099999994, 'm': 0.7930337590000001, 'h': 0}","{'l': 0, 'm': 0, 'h': 1}","{'l': 0, 'm': 0, 'h': 1}",0.1
"{'l': 0.23481035399999994, 'm': 0.7651896460000001, 'h': 0}","{'l': 0, 'm': 0, 'h': 1}","{'l': 0.4284216099999999, 'm': 0.57157839, 'h': 0}",0.0
"{'l': 0.477142422, 'm': 0.522857578, 'h': 0}","{'l': 0, 'm': 0, 'h': 1}","{'l': 0.792987865, 'm': 0.20701213499999996, 'h': 0}",-0.1
"{'l': 0.18321427699999981, 'm': 0.8167857230000002, 'h': 0}","{'l': 0, 'm': 0, 'h': 1}","{'l': 0, 'm': 0.0155374350000001, 'h': 0.984462565}",0.1
"{'l': 0, 'm': 0, 'h': 1}","{'l': 0, 'm': 0, 'h': 1}","{'l': 0, 'm': 0, 'h': 1}",0.2
"{'l': 0.3571535804999999, 'm': 0.6428464195000001, 'h': 0}","{'l': 0, 'm': 0, 'h': 1}","{'l': 0, 'm': 0, 'h': 1}",0.1
"{'l': 0, 'm': 0.4593629185000001, 'h': 0.5406370814999999}","{'l': 0, 'm': 0, 'h': 1}","{'l': 0, 'm': 0, 'h': 1}",0.2
"{'l': 0.2788462555, 'm': 0.7211537445, 'h': 0}","{'l': 0, 'm': 0, 'h': 1}","{'l': 0.48888507, 'm': 0.51111493, 'h': 0}",0.0
