time,current mc,min energy,most consume,queue length
385101,"(92, 104)",-7.349999086224823e-06,4.9999999999999996e-06,122
385201,"(92, 104)",-7.349999086224823e-06,7.548999999999999e-06,122
385301,"(92, 104)",-7.349999086224823e-06,7.580999999999999e-06,122
385401,"(92, 104)",-7.349999086224823e-06,1.3348235294117646e-06,122
385501,"(92, 104)",-7.349999086224823e-06,4.9999999999999996e-06,122
385601,"(92, 104)",-7.349999086224823e-06,7.5505e-06,122
385701,"(92, 104)",-7.349999086224823e-06,1.0101e-05,122
385801,"(92, 104)",-7.349999086224823e-06,1.0161999999999999e-05,122
385901,"(92, 104)",-7.349999086224823e-06,7.596499999999999e-06,122
386001,"(92, 104)",-7.349999086224823e-06,7.5564999999999996e-06,122
386101,"(92, 104)",-7.349999086224823e-06,7.5505e-06,122
386201,"(92, 104)",-7.349999086224823e-06,7.5505e-06,122
386301,"(92, 104)",-7.349999086224823e-06,4.9999999999999996e-06,122
386401,"(92, 104)",-7.349999086224823e-06,4.9999999999999996e-06,122
386501,"(92, 104)",-7.349999086224823e-06,4.9999999999999996e-06,122
386601,"(92, 104)",-7.349999086224823e-06,7.5564999999999996e-06,122
386701,"(92, 104)",-7.349999086224823e-06,4.9999999999999996e-06,122
386801,"(92, 104)",-7.349999086224823e-06,8.898823529411764e-07,122
386901,"(92, 104)",-7.349999086224823e-06,7.5564999999999996e-06,122
387001,"(92, 104)",-7.349999086224823e-06,1.0418333333333333e-06,122
387101,"(92, 104)",-7.349999086224823e-06,4.9999999999999996e-06,122
387201,"(92, 104)",-7.349999086224823e-06,4.9999999999999996e-06,122
387301,"(92, 104)",-7.349999086224823e-06,8.898823529411764e-07,122
387401,"(92, 104)",-7.349999086224823e-06,4.9999999999999996e-06,122
387501,"(92, 104)",-7.349999086224823e-06,4.9999999999999996e-06,122
387601,"(92, 104)",-7.349999086224823e-06,7.5564999999999996e-06,122
387701,"(92, 104)",-7.349999086224823e-06,4.9999999999999996e-06,122
387801,"(92, 104)",-7.349999086224823e-06,4.9999999999999996e-06,122
387901,"(92, 104)",-7.349999086224823e-06,4.9999999999999996e-06,122
388001,"(92, 104)",-7.349999086224823e-06,4.9999999999999996e-06,122
388101,"(92, 104)",-7.349999086224823e-06,7.596499999999999e-06,122
388201,"(92, 104)",-7.349999086224823e-06,4.9999999999999996e-06,122
388301,"(92, 104)",-7.349999086224823e-06,4.9999999999999996e-06,122
388401,"(92, 104)",-7.349999086224823e-06,4.9999999999999996e-06,122
388501,"(92, 104)",-7.349999086224823e-06,8.917647058823528e-07,122
388601,"(92, 104)",-7.349999086224823e-06,7.5505e-06,122
388701,"(92, 104)",-7.349999086224823e-06,4.9999999999999996e-06,122
388801,"(92, 104)",-7.349999086224823e-06,4.9999999999999996e-06,122
388901,"(92, 104)",-7.349999086224823e-06,4.9999999999999996e-06,122
389001,"(92, 104)",-7.349999086224823e-06,7.562499999999999e-06,122
389101,"(92, 104)",-7.349999086224823e-06,8.917647058823528e-07,122
389201,"(92, 104)",-7.349999086224823e-06,7.580999999999999e-06,122
389301,"(92, 104)",-7.349999086224823e-06,7.562499999999999e-06,122
389401,"(92, 104)",-7.349999086224823e-06,4.9999999999999996e-06,122
389501,"(92, 104)",-7.349999086224823e-06,7.580999999999999e-06,122
389601,"(92, 104)",-7.349999086224823e-06,1.0124999999999999e-05,122
389701,"(92, 104)",-7.349999086224823e-06,4.9999999999999996e-06,122
389801,"(92, 104)",-7.349999086224823e-06,1.1865098039215685e-06,122
389901,"(92, 104)",-7.349999086224823e-06,4.9999999999999996e-06,122
390001,"(92, 104)",-7.349999086224823e-06,7.580999999999999e-06,122
390101,"(92, 104)",-7.349999086224823e-06,1.189019607843137e-06,122
390201,"(92, 104)",-7.349999086224823e-06,7.596499999999999e-06,122
390301,"(92, 104)",-7.349999086224823e-06,7.5564999999999996e-06,122
390401,"(92, 104)",-7.349999086224823e-06,4.9999999999999996e-06,122
390501,"(92, 104)",-7.349999086224823e-06,7.596499999999999e-06,122
390601,"(92, 104)",-7.349999086224823e-06,1.1865098039215685e-06,122
390701,"(92, 104)",-7.349999086224823e-06,4.9999999999999996e-06,122
390801,"(92, 104)",-7.349999086224823e-06,7.5564999999999996e-06,122
390901,"(92, 104)",-7.349999086224823e-06,4.9999999999999996e-06,122
391001,"(92, 104)",-7.349999086224823e-06,7.548999999999999e-06,122
391101,"(92, 104)",-7.349999086224823e-06,4.9999999999999996e-06,122
391201,"(92, 104)",-7.349999086224823e-06,7.562499999999999e-06,122
391301,"(92, 104)",-7.349999086224823e-06,4.9999999999999996e-06,122
391401,"(92, 104)",-7.349999086224823e-06,4.9999999999999996e-06,122
391501,"(92, 104)",-7.349999086224823e-06,4.9999999999999996e-06,122
391601,"(92, 104)",-7.349999086224823e-06,4.9999999999999996e-06,122
391701,"(92, 104)",-7.349999086224823e-06,4.9999999999999996e-06,122
391801,"(92, 104)",-7.349999086224823e-06,7.5505e-06,122
391901,"(92, 104)",-7.349999086224823e-06,4.9999999999999996e-06,122
392001,"(92, 104)",-7.349999086224823e-06,9.80392156862745e-07,122
392101,"(92, 104)",-7.349999086224823e-06,1.0113e-05,122
392201,"(92, 104)",-7.349999086224823e-06,9.80392156862745e-07,122
392301,"(92, 104)",-7.349999086224823e-06,4.9999999999999996e-06,122
392401,"(92, 104)",-7.349999086224823e-06,7.548999999999999e-06,123
392501,"(92, 104)",-7.349999086224823e-06,4.9999999999999996e-06,123
392601,"(92, 104)",-7.349999086224823e-06,7.580999999999999e-06,123
392701,"(92, 104)",-7.349999086224823e-06,4.9999999999999996e-06,123
392801,"(92, 104)",-7.349999086224823e-06,7.5505e-06,123
392901,"(92, 104)",-7.349999086224823e-06,4.9999999999999996e-06,123
393001,"(92, 104)",-7.349999086224823e-06,1.0113e-05,123
393101,"(92, 104)",-7.349999086224823e-06,7.596499999999999e-06,123
393201,"(92, 104)",-7.349999086224823e-06,4.9999999999999996e-06,123
393301,"(92, 104)",-7.349999086224823e-06,7.5505e-06,123
393401,"(92, 104)",-7.349999086224823e-06,4.9999999999999996e-06,123
393501,"(92, 104)",-7.349999086224823e-06,7.596499999999999e-06,123
393601,"(92, 104)",-7.349999086224823e-06,7.562499999999999e-06,123
393701,"(92, 104)",-7.349999086224823e-06,4.9999999999999996e-06,123
393801,"(92, 104)",-7.349999086224823e-06,4.9999999999999996e-06,123
393901,"(92, 104)",-7.349999086224823e-06,4.9999999999999996e-06,123
394001,"(92, 104)",-7.349999086224823e-06,4.9999999999999996e-06,123
394101,"(92, 104)",-7.349999086224823e-06,4.9999999999999996e-06,123
394201,"(92, 104)",-7.349999086224823e-06,4.9999999999999996e-06,123
394301,"(92, 104)",-7.349999086224823e-06,7.5564999999999996e-06,123
394401,"(92, 104)",-7.349999086224823e-06,7.580999999999999e-06,123
394501,"(92, 104)",-7.349999086224823e-06,4.9999999999999996e-06,123
394601,"(92, 104)",-7.349999086224823e-06,4.9999999999999996e-06,123
394701,"(92, 104)",-7.349999086224823e-06,4.9999999999999996e-06,123
394801,"(92, 104)",-7.349999086224823e-06,7.596499999999999e-06,123
394901,"(92, 104)",-7.349999086224823e-06,1.0124999999999999e-05,123
395001,"(92, 104)",-7.349999086224823e-06,4.9999999999999996e-06,123
395101,"(92, 104)",-7.349999086224823e-06,4.9999999999999996e-06,123
395201,"(92, 104)",-7.349999086224823e-06,7.580999999999999e-06,123
395301,"(92, 104)",-7.349999086224823e-06,7.5505e-06,123
395401,"(92, 104)",-7.349999086224823e-06,7.596499999999999e-06,123
395501,"(92, 104)",-7.349999086224823e-06,4.9999999999999996e-06,123
395601,"(92, 104)",-7.349999086224823e-06,4.9999999999999996e-06,123
395701,"(92, 104)",-7.349999086224823e-06,7.548999999999999e-06,123
395801,"(92, 104)",-7.349999086224823e-06,7.562499999999999e-06,123
395901,"(92, 104)",-7.349999086224823e-06,4.9999999999999996e-06,123
396001,"(92, 104)",-7.349999086224823e-06,7.5799999999999994e-06,124
396101,"(92, 104)",-7.349999086224823e-06,7.580999999999999e-06,124
396201,"(92, 104)",-7.349999086224823e-06,4.9999999999999996e-06,124
396301,"(92, 104)",-7.349999086224823e-06,7.5564999999999996e-06,124
396401,"(92, 104)",-7.349999086224823e-06,1.0124999999999999e-05,124
396501,"(92, 104)",-7.349999086224823e-06,4.9999999999999996e-06,124
396601,"(92, 104)",-7.349999086224823e-06,7.580999999999999e-06,124
396701,"(92, 104)",-7.349999086224823e-06,1.0418333333333333e-06,124
396801,"(92, 104)",-7.349999086224823e-06,8.930000000000001e-07,124
396901,"(92, 104)",-7.349999086224823e-06,8.823529411764705e-07,124
397001,"(92, 104)",-7.349999086224823e-06,1.0124999999999999e-05,124
397101,"(92, 104)",-7.349999086224823e-06,7.596499999999999e-06,124
