min E,p/e,len E,,
4.816201061,0.648113575,13,"(500, 600)",7077.190525
,,,,
3.432692458,0.466313511,19,"(500, 400)",8124.092054
,,,,
3.786157167,0.485758666,11,"(500, 600)",13270.72862
,,,,
4.23636623,0.252809204,55,"(300, 300)",132.5587124
,,,,
4.586624297,0.494827414,19,"(500, 400)",4.071022081
,,,,
2.032270875,0.349883092,12,"(500, 600)",1002.493019
,,,,
1.822667856,0.561231556,19,"(500, 400)",136.5989379
,,,,
4.023526854,0.238224057,58,"(300, 300)",359.5792724
,,,,
4.480816967,0.574247895,19,"(500, 400)",3903.244999
,,,,
3.346654164,0.250571954,56,"(300, 300)",335.6990439
,,,,
4.372258745,0.51884669,21,"(500, 400)",477.0001011
,,,,
4.206825006,0.713328012,8,"(500, 500)",284.7283236
,,,,
4.056232072,0.53654366,19,"(500, 400)",231.9772127
,,,,
3.999962687,0.246345438,54,"(300, 300)",1722.232786
,,,,
3.762853911,0.57079477,19,"(500, 400)",227.7842581
,,,,
3.733305373,0.536981458,10,"(500, 500)",26.27422041
,,,,
3.728710268,0.40864237,25,"(500, 400)",9.631543778
,,,,
3.724160126,0.805472187,5,"(500, 500)",11.07136427
,,,,
3.719639657,0.270915869,19,"(500, 400)",2562.153041
,,,,
4.852722037,0.852099944,6,"(500, 500)",30124.30929
,,,,
3.046155287,0.612963556,17,"(500, 400)",9589.222163
,,,,
2.195144315,0.797914014,5,"(500, 500)",12725.82871
,,,,
2.19977676,0.102891555,80,"(800, 800)",283.8519004
,,,,
2.976966115,0.136784212,61,"(200, 700)",217.3435173
,,,,
2.930170339,0.25874989,56,"(300, 300)",923.4397725
,,,,
2.926206338,0.423074257,17,"(500, 400)",11168.74017
,,,,
1.659948785,0.093136723,81,"(800, 800)",297.8777376
,,,,
3.034381145,0.142152666,64,"(200, 700)",313.0009475
,,,,
2.977255445,0.246827417,52,"(300, 300)",3943.070206
,,,,
2.696007669,0.616155944,19,"(500, 400)",745.5423111
,,,,
7.758346912,0.558969469,16,"(500, 600)",10804.38596
,,,,
3.457591768,0.604152906,18,"(500, 400)",8889.684822
,,,,
2.201953358,0.137203211,65,"(200, 700)",4945.457399
,,,,
4.877856725,0.588857896,19,"(500, 400)",403.4785025
,,,,
4.802983974,0.09691982,80,"(800, 800)",349.9837652
,,,,
2.98116602,0.142971498,64,"(200, 700)",926.2060221
,,,,
2.853739645,0.40864237,19,"(500, 400)",257.1254871
,,,,
6.433804448,0.766719783,2,"(500, 500)",180769.0219
,,,,
5.808131511,0.094192714,81,"(800, 800)",166.0321321
,,,,
5.598643411,0.070833267,94,"(800, 900)",1.3826794
,,,,
5.582598611,0.093571337,78,"(800, 800)",1.423960541
,,,,
5.567218371,0.069742627,99,"(800, 900)",3.309431195
,,,,
5.550017142,0.093571337,85,"(800, 800)",2.386860189
,,,,
5.533201245,0.07103232,95,"(800, 900)",2.463591455
,,,,
5.51411075,0.095301674,83,"(800, 800)",2.124093474
,,,,
5.497039493,0.070506734,95,"(800, 900)",4.335387049
,,,,
5.478577049,0.094596513,79,"(800, 800)",1.802108853
,,,,
5.462612249,0.073865892,96,"(800, 900)",2.289056927
,,,,
5.445333914,0.099103383,83,"(800, 800)",1.209597154
,,,,
5.429369114,0.073865892,95,"(800, 900)",3.900236073
,,,,
5.410851085,0.099393837,81,"(800, 800)",2.319733297
,,,,
5.396607268,0.07408238,95,"(800, 900)",2.719312789
,,,,
5.380907253,0.09995219,81,"(800, 800)",1.865276835
,,,,
5.363834853,0.074498543,95,"(800, 900)",4.992241584
,,,,
5.345701609,0.096675522,75,"(800, 800)",1.578217191
,,,,
5.330730569,0.072056306,97,"(800, 900)",4.529766959
,,,,
5.311945084,0.100156243,82,"(800, 800)",1.313316674
,,,,
5.296684844,0.074650633,89,"(800, 900)",2.616981938
,,,,
5.281166349,0.100156243,77,"(800, 800)",2.238635598
,,,,
5.264719653,0.074281454,89,"(800, 900)",2.276433893
,,,,
5.248878118,0.099660928,82,"(800, 800)",1.717381784
,,,,
5.233947078,0.073169195,95,"(800, 900)",2.665733948
,,,,
5.217077943,0.098168648,78,"(800, 800)",3.318651015
,,,,
5.199915509,0.072110111,94,"(800, 900)",3.292196698
,,,,
5.18232356,0.096747711,85,"(800, 800)",2.2172678
,,,,
5.165507663,0.072110111,96,"(800, 900)",0.910063793
,,,,
5.149629023,0.098501616,85,"(800, 800)",3.063506053
,,,,
5.13284811,0.07341737,93,"(800, 900)",1.32269553
,,,,
5.11701867,0.096102793,83,"(800, 800)",1.44543776
,,,,
5.10174611,0.071629427,96,"(800, 900)",5.28304206
,,,,
5.08187477,0.097235937,82,"(800, 800)",1.308305433
,,,,
5.06708525,0.072474007,95,"(800, 900)",1.678416386
,,,,
5.05173885,0.097235937,82,"(800, 800)",2.500074332
,,,,
5.036648954,0.07376318,95,"(800, 900)",3.240739162
,,,,
5.021118364,0.098965577,83,"(800, 800)",1.486876246
,,,,
5.006335004,0.072512379,96,"(800, 900)",4.287293028
,,,,
4.989014,0.09728742,83,"(800, 800)",0.701772952
,,,,
4.97345224,0.076021055,96,"(800, 900)",2.372659715
,,,,
4.957826065,0.101994892,77,"(800, 800)",2.326352966
,,,,
4.942219288,0.076021055,90,"(800, 900)",1.469097662
,,,,
4.927395928,0.098585211,77,"(800, 800)",2.557488695
,,,,
4.912318351,0.073479677,94,"(800, 900)",3.368557423
,,,,
4.893908002,0.097379756,80,"(800, 800)",2.372713499
,,,,
4.876870585,0.072581201,94,"(800, 900)",1.887277131
,,,,
4.862093385,0.094384043,77,"(800, 800)",3.859243834
,,,,
4.845795511,0.070348371,94,"(800, 900)",2.984747578
,,,,
4.828631016,0.094384043,82,"(800, 800)",3.417272373
,,,,
4.810776343,0.072996891,94,"(800, 900)",0.951386574
,,,,
4.795752983,0.097937473,81,"(800, 800)",1.086441046
,,,,
4.780901943,0.071682596,92,"(800, 900)",3.873036471
,,,,
4.763054633,0.096174128,84,"(800, 800)",2.039537892
,,,,
4.746143377,0.07011134,96,"(800, 900)",2.182844345
,,,,
4.729972642,0.094066026,76,"(800, 800)",2.914602176
,,,,
4.713298265,0.07011134,92,"(800, 900)",2.448080228
,,,,
4.69580457,0.095785819,76,"(800, 800)",1.891760723
,,,,
4.68079969,0.071393173,97,"(800, 900)",3.204904144
,,,,
4.665376781,0.09718451,83,"(800, 800)",2.286002193
,,,,
4.648293204,0.072435676,97,"(800, 900)",1.938066239
,,,,
4.632402244,0.101632816,83,"(800, 800)",4.642133005
,,,,
4.616087033,0.075751185,98,"(800, 900)",2.171454209
,,,,
4.599882459,0.101632816,82,"(800, 800)",1.006313658
,,,,
4.585172939,0.073252088,98,"(800, 900)",2.912509547
,,,,
4.569888284,0.098279862,76,"(800, 800)",2.125969751
,,,,
4.553623107,0.0733159,95,"(800, 900)",3.693657893
,,,,
4.536258837,0.098365477,82,"(800, 800)",3.405569918
,,,,
4.519290244,0.073136515,96,"(800, 900)",0.700453287
,,,,
4.504433044,0.098124801,79,"(800, 800)",2.299390913
,,,,
4.490450747,0.073136515,94,"(800, 900)",1.996491159
,,,,
4.474821307,0.098459872,79,"(800, 800)",2.078975227
,,,,
4.45793157,0.073386256,95,"(800, 900)",4.233384488
,,,,
4.438838406,0.09571279,77,"(800, 800)",0.865311314
,,,,
4.423719686,0.071338742,90,"(800, 900)",1.594908268
,,,,
4.409164006,0.09571279,78,"(800, 800)",3.932486903
,,,,
4.392161572,0.073922435,97,"(800, 900)",2.289382777
,,,,
4.374990918,0.099179245,78,"(800, 800)",2.375443854
,,,,
4.360270221,0.071718426,97,"(800, 900)",3.528841483
,,,,
4.343081311,0.096222199,83,"(800, 800)",2.323029657
,,,,
